,_id,country,city,confirmed,deaths,population,lat,long
267,61eab83a50fb09bc0bd86250,India_Goa,True,222497,3585,0,15.359682000000001,74.057396
268,61eab83a50fb09bc0bd86251,India_Gujarat,True,1001563,10199,0,22.694884,71.590923
269,61eab83a50fb09bc0bd86252,India_Haryana,True,882895,10142,0,29.20004,76.332824
270,61eab83a50fb09bc0bd86253,India_Himachal Pradesh,True,254410,3916,0,31.927213000000002,77.233081
271,61eab83a50fb09bc0bd86254,India_Jammu and Kashmir,True,378661,4586,0,33.75943,76.612638
272,61eab83a50fb09bc0bd86255,India_Jharkhand,True,415388,5235,0,23.654536,85.557631
273,61eab83a50fb09bc0bd86256,India_Karnataka,True,3376953,38515,0,14.705179999999999,76.166436
274,61eab83a50fb09bc0bd86257,India_Kerala,True,5510844,51501,0,10.450898,76.405749
275,61eab83a50fb09bc0bd86258,India_Ladakh,True,24034,222,0,34.1526,77.5771
276,61eab83a50fb09bc0bd86259,India_Lakshadweep,True,10659,51,0,13.699997199999999,72.18333259999999
277,61eab83a50fb09bc0bd8625a,India_Madhya Pradesh,True,862029,10553,0,23.541513000000002,78.289633
278,61eab83a50fb09bc0bd8625b,India_Maharashtra,True,7371757,141971,0,19.449759,76.108221
279,61eab83a50fb09bc0bd8625c,India_Manipur,True,128679,2017,0,24.738975,93.882541
280,61eab83a50fb09bc0bd8625d,India_Meghalaya,True,87404,1494,0,25.536934,91.278882
281,61eab83a50fb09bc0bd8625e,India_Mizoram,True,157253,576,0,23.309381,92.83821999999999
282,61eab83a50fb09bc0bd8625f,India_Nagaland,True,33259,704,0,26.06702,94.470302
283,61eab83a50fb09bc0bd86260,India_Odisha,True,1177462,8501,0,20.505428,84.418059
284,61eab83a50fb09bc0bd86261,India_Puducherry,True,145342,1897,0,11.882658000000001,78.86498
285,61eab83a50fb09bc0bd86262,India_Punjab,True,692526,16882,0,30.841465000000003,75.40879
286,61eab83a50fb09bc0bd86263,India_Rajasthan,True,1084083,9044,0,26.583423,73.847973
287,61eab83a50fb09bc0bd86264,India_Sikkim,True,36098,417,0,27.571671000000002,88.472712
288,61eab83a50fb09bc0bd86265,India_Tamil Nadu,True,3042796,37112,0,11.006091,78.400624
289,61eab83a50fb09bc0bd86266,India_Telangana,True,722403,4067,0,18.1124,79.0193
290,61eab83a50fb09bc0bd86267,India_Tripura,True,96422,860,0,23.746782999999997,91.743565
291,61eab83a50fb09bc0bd86268,India_Unknown,True,0,0,0,,
292,61eab83a50fb09bc0bd86269,India_Uttar Pradesh,True,1900457,23000,0,26.925425,80.560982
293,61eab83a50fb09bc0bd8626a,India_Uttarakhand,True,386951,7460,0,30.156446999999996,79.197608
294,61eab83a50fb09bc0bd8626b,India_West Bengal,True,1939920,20230,0,23.814082,87.979803
295,61eab83a50fb09bc0bd8626c,Indonesia,False,4277644,144199,263991379,-0.7893,113.9213
296,61eab83a50fb09bc0bd8626d,Iran,False,6236567,132152,81162788,32.427908,53.68804599999999
297,61eab83a50fb09bc0bd8626e,Iraq,False,2137267,24272,38274618,33.223191,43.679291
298,61eab83a50fb09bc0bd8626f,Ireland,False,1127951,6087,4761657,53.1424,-7.6921
299,61eab83a50fb09bc0bd86270,Israel,False,2103938,8370,8321570,31.046051000000002,34.851612
300,61eab83a50fb09bc0bd86271,Italy,False,9418256,142590,59359900,,
301,61eab83a50fb09bc0bd86272,Italy_Abruzzo,True,180855,2726,0,42.35122196,13.39843823
302,61eab83a50fb09bc0bd86273,Italy_Basilicata,True,52812,664,0,40.63947052,15.80514834
303,61eab83a50fb09bc0bd86274,Italy_Calabria,True,154418,1766,0,38.90597598,16.59440194
304,61eab83a50fb09bc0bd86275,Italy_Campania,True,906823,8835,0,40.83956555,14.25084984
305,61eab83a50fb09bc0bd86276,Italy_Emilia-Romagna,True,875323,14690,0,44.49436681,11.341720800000001
306,61eab83a50fb09bc0bd86277,Italy_Friuli Venezia Giulia,True,225377,4382,0,45.6494354,13.76813649
307,61eab83a50fb09bc0bd86278,Italy_Lazio,True,743319,9594,0,41.89277044,12.48366722
308,61eab83a50fb09bc0bd86279,Italy_Liguria,True,245343,4769,0,44.41149315,8.9326992
309,61eab83a50fb09bc0bd8627a,Italy_Lombardia,True,1893559,36257,0,45.46679409,9.190347404
310,61eab83a50fb09bc0bd8627b,Italy_Marche,True,204837,3333,0,43.61675973,13.5188753
311,61eab83a50fb09bc0bd8627c,Italy_Molise,True,25732,518,0,41.55774754,14.65916051
312,61eab83a50fb09bc0bd8627d,Italy_P.A. Bolzano,True,138744,1336,0,46.49933453,11.35662422
313,61eab83a50fb09bc0bd8627e,Italy_P.A. Trento,True,103618,1460,0,46.06893511,11.12123097
314,61eab83a50fb09bc0bd8627f,Italy_Piemonte,True,752628,12415,0,45.0732745,7.680687483
315,61eab83a50fb09bc0bd86280,Italy_Puglia,True,505565,7091,0,41.12559576,16.86736689
316,61eab83a50fb09bc0bd86281,Italy_Sardegna,True,112353,1780,0,39.21531192,9.110616306
317,61eab83a50fb09bc0bd86282,Italy_Sicilia,True,551395,8087,0,38.11569725,13.362356699999998
318,61eab83a50fb09bc0bd86283,Italy_Toscana,True,628124,7949,0,43.76923077,11.25588885
319,61eab83a50fb09bc0bd86284,Italy_Umbria,True,135626,1577,0,43.10675841,12.38824698
320,61eab83a50fb09bc0bd86285,Italy_Valle d'Aosta,True,25709,499,0,45.73750286,7.320149366
321,61eab83a50fb09bc0bd86286,Italy_Veneto,True,956096,12862,0,45.43490485,12.33845213
322,61eab83a50fb09bc0bd86287,Jamaica,False,116944,2561,2890299,18.1096,-77.2975
323,61eab83a50fb09bc0bd86288,Japan,False,2021758,18467,127484450,,
324,61eab83a50fb09bc0bd86289,Japan_Aichi,True,123796,1166,0,35.035551,137.211621
325,61eab83a50fb09bc0bd8628a,Japan_Akita,True,2256,27,0,39.748678999999996,140.408228
326,61eab83a50fb09bc0bd8628b,Japan_Aomori,True,7229,39,0,40.781541,140.828896
327,61eab83a50fb09bc0bd8628c,Japan_Chiba,True,111896,1029,0,35.510141,140.198917
328,61eab83a50fb09bc0bd8628d,Japan_Ehime,True,7336,82,0,33.624835,132.856842
329,61eab83a50fb09bc0bd8628e,Japan_Fukui,True,3905,38,0,35.846614,136.22465400000002
330,61eab83a50fb09bc0bd8628f,Japan_Fukuoka,True,86914,629,0,33.526032,130.666949
331,61eab83a50fb09bc0bd86290,Japan_Fukushima,True,10251,176,0,37.378867,140.223295
332,61eab83a50fb09bc0bd86291,Japan_Gifu,True,21789,220,0,35.778671,137.055925
333,61eab83a50fb09bc0bd86292,Japan_Gunma,True,20887,182,0,36.504478999999996,138.985605
334,61eab83a50fb09bc0bd86293,Japan_Hiroshima,True,35139,212,0,34.605309000000005,132.788719
335,61eab83a50fb09bc0bd86294,Japan_Hokkaido,True,68577,1479,0,43.385711,142.55231799999999
336,61eab83a50fb09bc0bd86295,Japan_Hyogo,True,92173,1402,0,35.039913,134.828057
337,61eab83a50fb09bc0bd86296,Japan_Ibaraki,True,27385,220,0,36.303588,140.319591
338,61eab83a50fb09bc0bd86297,Japan_Ishikawa,True,9002,140,0,36.769464,136.771027
339,61eab83a50fb09bc0bd86298,Japan_Iwate,True,3684,53,0,39.593287,141.361777
340,61eab83a50fb09bc0bd86299,Japan_Kagawa,True,5617,38,0,34.217292,133.969047
341,61eab83a50fb09bc0bd8629a,Japan_Kagoshima,True,11399,66,0,31.009484000000004,130.430665
342,61eab83a50fb09bc0bd8629b,Japan_Kanagawa,True,187467,1324,0,35.415312,139.338983
343,61eab83a50fb09bc0bd8629c,Japan_Kochi,True,4553,33,0,33.422519,133.367307
344,61eab83a50fb09bc0bd8629d,Japan_Kumamoto,True,18852,139,0,32.608154,130.74523100000002
345,61eab83a50fb09bc0bd8629e,Japan_Kyoto,True,44607,292,0,35.253815,135.443341
